facility_name,facility_type,county,latitude,longitude,open_year
FMS-Capital District Dialysis Center,clinic,Schenectady,42.805534,-73.916946,1984
Evergreen Health,clinic,Erie,42.93157,-78.77391,2022
Planned Parenthood of Central and Western New York,clinic,Niagara,43.022358,-78.877762,2006
Urgent Medical Care of Skaneateles,hospital,Onondaga,42.944115,-76.447044,2000
"Absolut Center for Nursing and Rehabilitation at Gasport, LLC",nursing home,Niagara,43.193581,-78.573296,1981
U.S. Renal Care Tonawanda Dialysis,clinic,Erie,42.997509,-78.850815,2011
Mercy Ambulatory Care Center,hospital,Erie,42.832264,-78.779503,1995
Broadway Pediatrics,hospital,Erie,42.884956,-78.85508,2005
Onondaga Community College,clinic,Onondaga,43.00212,-76.20057,2024
Fingerlakes Medical Care Center,hospital,Cayuga,42.954887,-76.54409,1993
Buffalo Hearing & Speech Center,clinic,Niagara,43.0858,-78.944298,2010
"Bristol Village, Inc.",other,Erie,43.012133,-78.67917,2003
Sauquoit Medical Office,hospital,Oneida,43.001995,-75.25853,1997
St. Mary's St. Johnsville Health Center,hospital,Montgomery,42.99902,-74.686768,1998
Saint Vincent Health Center,hospital,Erie,42.896263,-78.81958,2014
Long Pond Medical & Rehab Group,hospital,Monroe,43.188568,-77.694328,
"Pure Life Renal of Buffalo, Inc.",clinic,Erie,42.965443,-78.729156,1994
The Pearl Nursing Center of Rochester,nursing home,Monroe,43.190228,-77.584351,
FMS - Liverpool Dialysis Center,clinic,Onondaga,43.093231,-76.171028,2008
Visiting Nurses Home Care,other,Albany,42.678691,-73.796259,1988
Elderwood of Lakeside at Brockport,nursing home,Monroe,43.220108,-77.945473,
Venture Forthe Inc.,other,Niagara,43.091289,-79.016779,2008
Buffalo Hearing & Speech,clinic,Erie,42.828037,-78.753586,2003
